,Matt Schaub,14,2004-2020,4TM,View Game-Winning Drives
,Kordell Stewart,14,1995-2005,3TM,View Game-Winning Drives
,Richard Todd,14,1976-1985,2TM,View Game-Winning Drives
,Danny White,14,1976-1988,dal,View Game-Winning Drives
113,Nick Foles,13,2012-2021,5TM,View Game-Winning Drives
,Elvis Grbac,13,1994-2001,3TM,View Game-Winning Drives
,Eddie LeBaron,13,1952-1963,2TM,View Game-Winning Drives
,Don Majkowski,13,1987-1996,3TM,View Game-Winning Drives
,Babe Parilli,13,1952-1969,5TM,View Game-Winning Drives
,Vince Young,13,2006-2011,2TM,View Game-Winning Drives
119,Matt Cassel,12,2005-2018,7TM,View Game-Winning Drives
,Brian Griese,12,1998-2008,4TM,View Game-Winning Drives
,Neil Lomax,12,1981-1988,crd,View Game-Winning Drives
,Archie Manning,12,1971-1984,3TM,View Game-Winning Drives
,Mike Phipps,12,1970-1981,2TM,View Game-Winning Drives
,Mark Rypien,12,1988-2001,5TM,View Game-Winning Drives
,Mike Tomczak,12,1985-1999,4TM,View Game-Winning Drives
,Marc Wilson,12,1980-1990,2TM,View Game-Winning Drives
,Jameis Winston,12,2015-2021,2TM,View Game-Winning Drives
,Jim Zorn,12,1976-1987,3TM,View Game-Winning Drives
129,Josh Allen,11,2018-2021,buf,View Game-Winning Drives
,Charlie Batch,11,1998-2012,2TM,View Game-Winning Drives
,Bubby Brister,11,1986-2000,5TM,View Game-Winning Drives
,David Carr,11,2002-2012,4TM,View Game-Winning Drives
,Tim Couch,11,1999-2003,cle,View Game-Winning Drives
,Gary Danielson,11,1976-1988,2TM,View Game-Winning Drives
,Bert Jones,11,1973-1982,2TM,View Game-Winning Drives
,Jack Kemp,11,1957-1969,3TM,View Game-Winning Drives
,Marcus Mariota,11,2015-2021,2TM,View Game-Winning Drives
,Chris Miller,11,1987-1999,3TM,View Game-Winning Drives
,Earl Morrall,11,1956-1976,6TM,View Game-Winning Drives
,Billy Wade,11,1954-1966,2TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Kurt Warner+,11,1998-2009,3TM,View Game-Winning Drives
,Wade Wilson,11,1981-1998,5TM,View Game-Winning Drives
143,Bob Avellini,10,1975-1984,chi,View Game-Winning Drives
,Jason Campbell,10,2006-2014,5TM,View Game-Winning Drives
,Doug Flutie,10,1986-2005,4TM,View Game-Winning Drives
,Josh Freeman,10,2009-2015,3TM,View Game-Winning Drives
,Gus Frerotte,10,1994-2008,7TM,View Game-Winning Drives
,Jimmy Garoppolo,10,2014-2021,2TM,View Game-Winning Drives
,Jared Goff,10,2016-2021,2TM,View Game-Winning Drives
,Jeff Hostetler,10,1985-1997,3TM,View Game-Winning Drives
,Stan Humphries,10,1989-1997,2TM,View Game-Winning Drives
,Case Keenum,10,2013-2021,6TM,View Game-Winning Drives
,Byron Leftwich,10,2003-2012,4TM,View Game-Winning Drives
,Patrick Mahomes,10,2017-2021,kan,View Game-Winning Drives
,Chad Pennington,10,2000-2010,2TM,View Game-Winning Drives
,Mark Sanchez,10,2009-2018,4TM,View Game-Winning Drives
,Jack Trudeau,10,1986-1995,3TM,View Game-Winning Drives
,Deshaun Watson,10,2017-2020,htx,View Game-Winning Drives
,Carson Wentz,10,2016-2021,2TM,View Game-Winning Drives
160,Jay Fiedler,9,1995-2005,5TM,View Game-Winning Drives
,Kent Graham,9,1992-2001,4TM,View Game-Winning Drives
,Rex Grossman,9,2003-2011,3TM,View Game-Winning Drives
,James Harris,9,1969-1979,3TM,View Game-Winning Drives
,Scott Hunter,9,1971-1979,4TM,View Game-Winning Drives
,Rick Mirer,9,1993-2003,5TM,View Game-Winning Drives
,Scott Mitchell,9,1991-2001,4TM,View Game-Winning Drives
,Kyle Orton,9,2005-2014,5TM,View Game-Winning Drives
,Milt Plum,9,1957-1969,4TM,View Game-Winning Drives
,Frank Ryan,9,1958-1970,3TM,View Game-Winning Drives
,Steve Walsh,9,1989-1999,6TM,View Game-Winning Drives
171,Blake Bortles,8,2014-2019,2TM,View Game-Winning Drives
,Sam Bradford,8,2010-2018,4TM,View Game-Winning Drives
,Tony Eason,8,1983-1990,2TM,View Game-Winning Drives
,Jim Finks+,8,1949-1955,pit,View Game-Winning Drives
,Tom Flores+,8,1960-1969,3TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Steve Fuller,8,1979-1986,2TM,View Game-Winning Drives
,Otto Graham+,8,1946-1955,cle,View Game-Winning Drives
,Pat Haden,8,1976-1981,ram,View Game-Winning Drives
,Justin Herbert,8,2020-2021,sdg,View Game-Winning Drives
,Damon Huard,8,1998-2008,3TM,View Game-Winning Drives
,Lamar Jackson,8,2018-2021,rav,View Game-Winning Drives
,Greg Landry,8,1968-1984,3TM,View Game-Winning Drives
,Don Meredith,8,1960-1968,dal,View Game-Winning Drives
,Matt Moore,8,2007-2019,3TM,View Game-Winning Drives
,Bill Munson,8,1964-1979,5TM,View Game-Winning Drives
,Bill Nelsen,8,1963-1972,2TM,View Game-Winning Drives
,Mike Pagel,8,1982-1993,3TM,View Game-Winning Drives
,Don Strock,8,1974-1988,2TM,View Game-Winning Drives
189,Derek Anderson,7,2006-2018,4TM,View Game-Winning Drives
,Tony Banks,7,1996-2005,4TM,View Game-Winning Drives
,Zeke Bratkowski,7,1954-1971,3TM,View Game-Winning Drives
,Teddy Bridgewater,7,2014-2021,4TM,View Game-Winning Drives
,Scott Brunner,7,1980-1985,2TM,View Game-Winning Drives
,Quincy Carter,7,2001-2004,2TM,View Game-Winning Drives
,John Friesz,7,1990-2000,4TM,View Game-Winning Drives
,Blaine Gabbert,7,2011-2021,5TM,View Game-Winning Drives
,Bruce Gradkowski,7,2006-2014,5TM,View Game-Winning Drives
,Joey Harrington,7,2002-2007,3TM,View Game-Winning Drives
,Colin Kaepernick,7,2011-2016,sfo,View Game-Winning Drives
,Mike Livingston,7,1968-1979,kan,View Game-Winning Drives
,Mark Malone,7,1980-1989,3TM,View Game-Winning Drives
,Baker Mayfield,7,2018-2021,cle,View Game-Winning Drives
,Josh McCown,7,2002-2019,9TM,View Game-Winning Drives
,Kyler Murray,7,2019-2021,crd,View Game-Winning Drives
,Tobin Rote,7,1950-1966,4TM,View Game-Winning Drives
,John Skelton,7,2010-2012,crd,View Game-Winning Drives
,Geno Smith,7,2013-2021,4TM,View Game-Winning Drives
,Mitchell Trubisky,7,2017-2021,2TM,View Game-Winning Drives
209,Kyle Boller,6,2003-2011,3TM,View Game-Winning Drives
,Ty Detmer,6,1993-2003,5TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Gary Hogeboom,6,1980-1989,3TM,View Game-Winning Drives
,Brian Hoyer,6,2009-2021,7TM,View Game-Winning Drives
,Bill Kenney,6,1980-1988,kan,View Game-Winning Drives
,J.P. Losman,6,2004-2011,3TM,View Game-Winning Drives
,Lamar McHan,6,1954-1963,4TM,View Game-Winning Drives
,Jim Miller,6,1995-2002,2TM,View Game-Winning Drives
,Tyrod Taylor,6,2011-2021,5TM,View Game-Winning Drives
,Tim Tebow,6,2010-2012,2TM,View Game-Winning Drives
,Frank Tripucka,6,1949-1963,4TM,View Game-Winning Drives
220,Bob Berry,5,1965-1975,2TM,View Game-Winning Drives
,Steve Bono,5,1985-1999,7TM,View Game-Winning Drives
,Rudy Bukich,5,1953-1968,4TM,View Game-Winning Drives
,Cody Carlson,5,1988-1994,oti,View Game-Winning Drives
,Todd Collins,5,1995-2010,4TM,View Game-Winning Drives
,Gary Cuozzo,5,1963-1972,4TM,View Game-Winning Drives
,Steve Dils,5,1979-1988,3TM,View Game-Winning Drives
,Al Dorow,5,1954-1962,4TM,View Game-Winning Drives
,Trent Edwards,5,2007-2012,3TM,View Game-Winning Drives
,Vince Evans,5,1977-1995,2TM,View Game-Winning Drives
,A.J. Feeley,5,2001-2011,3TM,View Game-Winning Drives
,Vince Ferragamo,5,1977-1986,3TM,View Game-Winning Drives
,Johnny Green,5,1960-1963,2TM,View Game-Winning Drives
,Robert Griffin III,5,2012-2020,3TM,View Game-Winning Drives
,Chad Henne,5,2008-2021,3TM,View Game-Winning Drives
,Shaun Hill,5,2005-2016,4TM,View Game-Winning Drives
,Jeff Kemp,5,1981-1991,4TM,View Game-Winning Drives
,Shaun King,5,1999-2004,2TM,View Game-Winning Drives
,Bob Lee,5,1969-1980,3TM,View Game-Winning Drives
,Colt McCoy,5,2010-2021,5TM,View Game-Winning Drives
,Paul McDonald,5,1980-1986,2TM,View Game-Winning Drives
,Hugh Millen,5,1987-1995,4TM,View Game-Winning Drives
,Brock Osweiler,5,2012-2018,3TM,View Game-Winning Drives
,Steve Ramsey,5,1970-1976,2TM,View Game-Winning Drives
,Jeff Rutledge,5,1979-1992,3TM,View Game-Winning Drives
,Dennis Shaw,5,1970-1975,2TM,View Game-Winning Drives
Rank,Player,GWD,Years,Tm,Link
,Bobby Thomason,5,1949-1957,3TM,View Game-Winning Drives
,Billy Joe Tolliver,5,1989-1999,5TM,View Game-Winning Drives
,David Woodley,5,1980-1985,2TM,View Game-Winning Drives
249,Dave Brown,4,1992-2001,2TM,View Game-Winning Drives
,Sam Darnold,4,2018-2021,2TM,View Game-Winning Drives
,Cotton Davidson,4,1954-1968,3TM,View Game-Winning Drives
,Bobby Douglass,4,1969-1978,4TM,View Game-Winning Drives
,Mike Glennon,4,2013-2021,6TM,View Game-Winning Drives
,Taylor Heinicke,4,2017-2021,3TM,View Game-Winning Drives
,Eric Hipple,4,1980-1989,det,View Game-Winning Drives
,Tarvaris Jackson,4,2006-2015,2TM,View Game-Winning Drives
,Rob Johnson,4,1995-2003,5TM,View Game-Winning Drives
,Joe Kapp,4,1967-1970,2TM,View Game-Winning Drives
,Jamie Martin,4,1996-2007,3TM,View Game-Winning Drives
,Gardner Minshew II,4,2019-2021,2TM,View Game-Winning Drives
,Steve Pelluer,4,1984-1990,2TM,View Game-Winning Drives
,JaMarcus Russell,4,2007-2009,rai,View Game-Winning Drives
,Drew Stanton,4,2008-2017,2TM,View Game-Winning Drives
,Cliff Stoudt,4,1980-1989,3TM,View Game-Winning Drives
,Tua Tagovailoa,4,2020-2021,mia,View Game-Winning Drives
